float,row_key,quantity,value_paper,digits
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,se,0.002,3
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,t,-0.098,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,ci_lower,-0.006,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,ci_upper,0.004,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,df,478328,0
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,p_value,0.767,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,se,0.003,3
supplementary_table_1,Trump support | 50 to 60 | PAP adjustment set,t,-0.296,3
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,ci_lower,-0.004,3
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,ci_upper,0.007,3
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,df,478331,0
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,estimate,0.002,3
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,p_value,0.522,3
supplementary_table_1,Trump support | 50 to 60 | Unadjusted,se,0.003,3
